fullName,country,politicalGroup,id,nationalPoliticalGroup,party
Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),124726,kansallinenkokoomus,EPP
Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,christlichdemokratischeunion,EPP
Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,neadimokratia,EPP
Lucia VUOLO,Italy,Group of the European People's Party (Christian Democrats),197798,forzaitaliailpopolodellaliberta,EPP
Maria WALSH,Ireland,Group of the European People's Party (Christian Democrats),197863,finegaelparty,EPP
Marion WALSMANN,Germany,Group of the European People's Party (Christian Democrats),197429,christlichdemokratischeunion,EPP
Jörgen WARBORN,Sweden,Group of the European People's Party (Christian Democrats),197405,moderaterna,EPP
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,christlichsozialeunion,EPP
Pernille WEISS,Denmark,Group of the European People's Party (Christian Democrats),197515,detkonservativefolkeparti,EPP
Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,christlichdemokratischeunion,EPP
Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,uniuneademocratamaghiaradinromania,EPP
Angelika WINZIG,Austria,Group of the European People's Party (Christian Democrats),197652,osterreichischevolkspartei,EPP
Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),197421,partichretiensocialluxembourgeois,EPP
Stefania ZAMBELLI,Italy,Group of the European People's Party (Christian Democrats),197586,forzaitaliailpopolodellaliberta,EPP
Javier ZARZALEJOS,Spain,Group of the European People's Party (Christian Democrats),197606,alianzapartidopopular,EPP
Tomáš ZDECHOVSKÝ,Czechia,Group of the European People's Party (Christian Democrats),124713,krestanskaademokratickaunieceskoslovenskastranalidova,EPP
Juan Ignacio ZOIDO ÁLVAREZ,Spain,Group of the European People's Party (Christian Democrats),197621,alianzapartidopopular,EPP
Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,hrvatskademokratskazajednica,EPP
Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,slovenskademokratskastranka,EPP
Konstantinos ARVANITIS,Greece,The Left group in the European Parliament - GUE/NGL,197701,coalitionoftheradicalleft,GUE/NGL
Manon AUBRY,France,The Left group in the European Parliament - GUE/NGL,197533,lafranceinsoumise,GUE/NGL
Malin BJÖRK,Sweden,The Left group in the European Parliament - GUE/NGL,124992,vansterpartiet,GUE/NGL
Marc BOTENGA,Belgium,The Left group in the European Parliament - GUE/NGL,187917,partidutravaildebelgique,GUE/NGL
Patricia CARO MAYA,Spain,The Left group in the European Parliament - GUE/NGL,250572,podemos,GUE/NGL
Leila CHAIBI,France,The Left group in the European Parliament - GUE/NGL,197529,lafranceinsoumise,GUE/NGL
Clare DALY,Ireland,The Left group in the European Parliament - GUE/NGL,197731,independentsforchange,GUE/NGL
Özlem DEMIREL,Germany,The Left group in the European Parliament - GUE/NGL,197468,dielinke,GUE/NGL
Cornelia ERNST,Germany,The Left group in the European Parliament - GUE/NGL,96852,dielinke,GUE/NGL
Luke Ming FLANAGAN,Ireland,The Left group in the European Parliament - GUE/NGL,124985,independent,GUE/NGL
Giorgos GEORGIOU,Cyprus,The Left group in the European Parliament - GUE/NGL,197416,progressivepartyofworkingpeopleleftnewforces,GUE/NGL
José GUSMÃO,Portugal,The Left group in the European Parliament - GUE/NGL,88715,blocodeesquerda,GUE/NGL
Anja HAZEKAMP,Netherlands,The Left group in the European Parliament - GUE/NGL,125023,partijvoordedieren,GUE/NGL
Niyazi KIZILYÜREK,Cyprus,The Left group in the European Parliament - GUE/NGL,197415,progressivepartyofworkingpeopleleftnewforces,GUE/NGL
Kateřina KONEČNÁ,Czechia,The Left group in the European Parliament - GUE/NGL,23699,komunistickastranacechamoravy,GUE/NGL
Stelios KOULOGLOU,Greece,The Left group in the European Parliament - GUE/NGL,130833,newleft,GUE/NGL
Elena KOUNTOURA,Greece,The Left group in the European Parliament - GUE/NGL,197699,coalitionoftheradicalleft,GUE/NGL
Chris MACMANUS,Ireland,The Left group in the European Parliament - GUE/NGL,205452,sinnfein,GUE/NGL
Emmanuel MAUREL,France,The Left group in the European Parliament - GUE/NGL,24505,gaucherepublicaineetsocialiste,GUE/NGL
Marina MESURE,France,The Left group in the European Parliament - GUE/NGL,236053,lafranceinsoumise,GUE/NGL
Martina MICHELS,Germany,The Left group in the European Parliament - GUE/NGL,120478,dielinke,GUE/NGL
Silvia MODIG,Finland,The Left group in the European Parliament - GUE/NGL,197805,vasemmistoliitto,GUE/NGL
Younous OMARJEE,France,The Left group in the European Parliament - GUE/NGL,30482,lafranceinsoumise,GUE/NGL
Dimitrios PAPADIMOULIS,Greece,The Left group in the European Parliament - GUE/NGL,28586,newleft,GUE/NGL
Anne-Sophie PELLETIER,France,The Left group in the European Parliament - GUE/NGL,197527,independant,GUE/NGL
Sandra PEREIRA,Portugal,The Left group in the European Parliament - GUE/NGL,197754,partidocomunistaportugues,GUE/NGL
João PIMENTA LOPES,Portugal,The Left group in the European Parliament - GUE/NGL,136236,partidocomunistaportugues,GUE/NGL
Manu PINEDA,Spain,The Left group in the European Parliament - GUE/NGL,197828,izquierdaunida,GUE/NGL
Anabela RODRIGUES,Portugal,The Left group in the European Parliament - GUE/NGL,254718,blocodeesquerda,GUE/NGL
Eugenia RODRÍGUEZ PALOP,Spain,The Left group in the European Parliament - GUE/NGL,197785,podemos,GUE/NGL
Esther SANZ SELVA,Spain,The Left group in the European Parliament - GUE/NGL,251249,podemos,GUE/NGL
Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,190517,dielinke,GUE/NGL
Helmut SCHOLZ,Germany,The Left group in the European Parliament - GUE/NGL,96646,dielinke,GUE/NGL
Miguel URBÁN CRESPO,Spain,The Left group in the European Parliament - GUE/NGL,131507,anticapitalistas,GUE/NGL
Idoia VILLANUEVA RUIZ,Spain,The Left group in the European Parliament - GUE/NGL,197827,podemos,GUE/NGL
Nikolaj VILLUMSEN,Denmark,The Left group in the European Parliament - GUE/NGL,197571,enhedslisten,GUE/NGL
Mick WALLACE,Ireland,The Left group in the European Parliament - GUE/NGL,197817,independentsforchange,GUE/NGL
Matteo ADINOLFI,Italy,Identity and Democracy Group,197826,legadazionemeridionale,ID
Mathilde ANDROUËT,France,Identity and Democracy Group,197691,rassemblementnational,ID
Gerolf ANNEMANS,Belgium,Identity and Democracy Group,124973,vlaamsbelang,ID
Jordan BARDELLA,France,Identity and Democracy Group,131580,rassemblementnational,ID
Alessandra BASSO,Italy,Identity and Democracy Group,197610,legadazionemeridionale,ID
Aurélia BEIGNEUX,France,Identity and Democracy Group,197680,rassemblementnational,ID
Dominique BILDE,France,Identity and Democracy Group,124771,rassemblementnational,ID
Anna BONFRISCO,Italy,Identity and Democracy Group,197788,legadazionemeridionale,ID
Paolo BORCHIA,Italy,Identity and Democracy Group,101039,legadazionemeridionale,ID
Annika BRUNA,France,Identity and Democracy Group,182995,rassemblementnational,ID
Marco CAMPOMENOSI,Italy,Identity and Democracy Group,35016,legadazionemeridionale,ID
Massimo CASANOVA,Italy,Identity and Democracy Group,197796,legadazionemeridionale,ID
Susanna CECCARDI,Italy,Identity and Democracy Group,197786,legadazionemeridionale,ID
Patricia CHAGNON,France,Identity and Democracy Group,236052,rassemblementnational,ID
Angelo CIOCCA,Italy,Identity and Democracy Group,183793,legadazionemeridionale,ID
Rosanna CONTE,Italy,Identity and Democracy Group,197616,legadazionemeridionale,ID
Gianantonio DA RE,Italy,Identity and Democracy Group,197608,legadazionemeridionale,ID
Marie DAUCHY,France,Identity and Democracy Group,236050,rassemblementnational,ID
Ivan DAVID,Czechia,Identity and Democracy Group,197556,svobodaaprimademokracie,ID
Filip DE MAN,Belgium,Identity and Democracy Group,197472,vlaamsbelang,ID
Gianna GANCIA,Italy,Identity and Democracy Group,197582,legadazionemeridionale,ID
Jean-Paul GARRAUD,France,Identity and Democracy Group,197628,rassemblementnational,ID
Paola GHIDONI,Italy,Identity and Democracy Group,239256,legadazionemeridionale,ID
Valentino GRANT,Italy,Identity and Democracy Group,197799,legadazionemeridionale,ID
Catherine GRISET,France,Identity and Democracy Group,94649,rassemblementnational,ID
Roman HAIDER,Austria,Identity and Democracy Group,198176,freiheitlicheparteiosterreichs,ID
Jean-François JALKH,France,Identity and Democracy Group,124770,rassemblementnational,ID
France JAMET,France,Identity and Democracy Group,189065,rassemblementnational,ID
Virginie JORON,France,Identity and Democracy Group,197627,rassemblementnational,ID
Jean-Lin LACAPELLE,France,Identity and Democracy Group,204421,rassemblementnational,ID
Danilo Oscar LANCINI,Italy,Identity and Democracy Group,192635,legadazionemeridionale,ID
Gilles LEBRETON,France,Identity and Democracy Group,124738,rassemblementnational,ID
Elena LIZZI,Italy,Identity and Democracy Group,197611,legadazionemeridionale,ID
Jaak MADISON,Estonia,Identity and Democracy Group,197493,eestikonservatiivnerahvaerakond,ID
Thierry MARIANI,France,Identity and Democracy Group,197623,rassemblementnational,ID
Georg MAYER,Austria,Identity and Democracy Group,38511,freiheitlicheparteiosterreichs,ID
Eric MINARDI,France,Identity and Democracy Group,236051,rassemblementnational,ID
Philippe OLIVIER,France,Identity and Democracy Group,197687,rassemblementnational,ID
Alessandro PANZA,Italy,Identity and Democracy Group,99283,legadazionemeridionale,ID
Aldo PATRICIELLO,Italy,Identity and Democracy Group,36392,legadazionemeridionale,ID
Antonio Maria RINALDI,Italy,Identity and Democracy Group,197787,legadazionemeridionale,ID
André ROUGÉ,France,Identity and Democracy Group,197690,rassemblementnational,ID
Silvia SARDONE,Italy,Identity and Democracy Group,197578,legadazionemeridionale,ID
Annalisa TARDINO,Italy,Identity and Democracy Group,197806,legadazionemeridionale,ID
Isabella TOVAGLIERI,Italy,Identity and Democracy Group,197580,legadazionemeridionale,ID
Tom VANDENDRIESSCHE,Belgium,Identity and Democracy Group,185771,vlaamsbelang,ID
Harald VILIMSKY,Austria,Identity and Democracy Group,125001,freiheitlicheparteiosterreichs,ID
Anders VISTISEN,Denmark,Identity and Democracy Group,124875,danskfolkeparti,ID
Marco ZANNI,Italy,Identity and Democracy Group,124780,legadazionemeridionale,ID
Christine ANDERSON,Germany,Non-attached Members,197475,alternativefurdeutschland,NI
Gunnar BECK,Germany,Non-attached Members,132191,alternativefurdeutschland,NI
Tiziana BEGHIN,Italy,Non-attached Members,124777,movimento5stelle,NI
Monika BEŇOVÁ,Slovakia,Non-attached Members,23868,smersocialnademokracia,NI
Hynek BLAŠKO,Czechia,Non-attached Members,197564,aliancenarodnichsil,NI
Andrea BOCSKOR,Hungary,Non-attached Members,124712,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Markus BUCHHEIT,Germany,Non-attached Members,128483,alternativefurdeutschland,NI
Martin BUSCHMANN,Germany,Non-attached Members,197434,independent,NI
Tudor CIUHODARU,Romania,Non-attached Members,197657,alianapentruunirearomanilor,NI
Gilbert COLLARD,France,Non-attached Members,197683,diversdroite,NI
Antoni COMÍN I OLIVERES,Spain,Non-attached Members,202352,juntspercatalunyalliurespereuropa,NI
Andrea COZZOLINO,Italy,Non-attached Members,96880,partitodemocratico,NI
Maria Angela DANZÌ,Italy,Non-attached Members,239258,movimento5stelle,NI
Andor DELI,Hungary,Non-attached Members,124714,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Tamás DEUTSCH,Hungary,Non-attached Members,96826,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Francesca DONATO,Italy,Non-attached Members,197822,democraziacristiana,NI
Laura FERRARA,Italy,Non-attached Members,124833,movimento5stelle,NI
Nicolaus FEST,Germany,Non-attached Members,197480,alternativefurdeutschland,NI
Mario FURORE,Italy,Non-attached Members,197795,movimento5stelle,NI
Kinga GÁL,Hungary,Non-attached Members,28150,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Alexis GEORGOULIS,Greece,Non-attached Members,197819,independent,NI
Dino GIARRUSSO,Italy,Non-attached Members,197804,independent,NI
Marcel de GRAAFF,Netherlands,Non-attached Members,125025,forumvoordemocratie,NI
Márton GYÖNGYÖSI,Hungary,Non-attached Members,198063,jobbikkonzervativok,NI
Enikő GYŐRI,Hungary,Non-attached Members,96830,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
András GYÜRK,Hungary,Non-attached Members,23816,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Balázs HIDVÉGHI,Hungary,Non-attached Members,124586,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Lívia JÁRÓKA,Hungary,Non-attached Members,28141,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Hervé JUVIN,France,Non-attached Members,197626,independant,NI
Eva KAILI,Greece,Non-attached Members,125109,independent,NI
Mislav KOLAKUŠIĆ,Croatia,Non-attached Members,197438,pravoipravda,NI
Athanasios KONSTANTINOU,Greece,Non-attached Members,197740,independent,NI
Ádám KÓSA,Hungary,Non-attached Members,96829,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Maximilian KRAH,Germany,Non-attached Members,197481,alternativefurdeutschland,NI
Joachim KUHS,Germany,Non-attached Members,197482,alternativefurdeutschland,NI
Ioannis LAGOS,Greece,Non-attached Members,197737,independent,NI
Sylvia LIMMER,Germany,Non-attached Members,197483,alternativefurdeutschland,NI
Jörg MEUTHEN,Germany,Non-attached Members,190518,independent,NI
Lefteris NIKOLAOU-ALAVANOS,Greece,Non-attached Members,197734,communistpartyofgreece,NI
Kostas PAPADAKIS,Greece,Non-attached Members,125093,communistpartyofgreece,NI
Sabrina PIGNEDOLI,Italy,Non-attached Members,197619,movimento5stelle,NI
Maxette PIRBAKAS,France,Non-attached Members,197629,independant,NI
Clara PONSATÍ OBIOLS,Spain,Non-attached Members,204443,juntspercatalunyalliurespereuropa,NI
Carles PUIGDEMONT I CASAMAJÓ,Spain,Non-attached Members,202351,juntspercatalunyalliurespereuropa,NI
Miroslav RADAČOVSKÝ,Slovakia,Non-attached Members,197764,slovakpatriot,NI
Guido REIL,Germany,Non-attached Members,197488,alternativefurdeutschland,NI
Jérôme RIVIÈRE,France,Non-attached Members,197615,independant,NI
Maria Veronica ROSSI,Italy,Non-attached Members,243912,independent,NI
Katarína ROTH NEVEĎALOVÁ,Slovakia,Non-attached Members,96653,smersocialnademokracia,NI
Ernő SCHALLER-BAROSS,Hungary,Non-attached Members,213330,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Ivan Vilibor SINČIĆ,Croatia,Non-attached Members,197935,pravoipravda,NI
Massimiliano SMERIGLIO,Italy,Non-attached Members,197791,alleanzaverdiesinistra,NI
Martin SONNEBORN,Germany,Non-attached Members,124834,diepartei,NI
Marc TARABELLA,Belgium,Non-attached Members,29579,independent,NI
Edina TÓTH,Hungary,Non-attached Members,27714,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
László TRÓCSÁNYI,Hungary,Non-attached Members,197894,fideszmagyarpolgariszovetsegkeresztenydemokrataneppart,NI
Milan UHRÍK,Slovakia,Non-attached Members,197763,hnutierepublika,NI
Viktor USPASKICH,Lithuania,Non-attached Members,96698,darbopartija,NI
Elena YONCHEVA,Bulgaria,Non-attached Members,197842,bulgariansocialistparty,NI
Bernhard ZIMNIOK,Germany,Non-attached Members,197489,alternativefurdeutschland,NI
Tatjana ŽDANOKA,Latvia,Non-attached Members,28619,latvijaskrievusavieniba,NI
Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe Group,197848,movementforrightsandfreedoms,RENEW
Abir AL-SAHLANI,Sweden,Renew Europe Group,197400,centerpartiet,RENEW
Catherine AMALRIC,France,Renew Europe Group,247122,partiradical,RENEW
Barry ANDREWS,Ireland,Renew Europe Group,204332,fiannafailparty,RENEW
Andrus ANSIP,Estonia,Renew Europe Group,124696,eestireformierakond,RENEW
Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,124766,lietuvosrespublikosliberalusajudis,RENEW
Malik AZMANI,Netherlands,Renew Europe Group,197781,volkspartijvoorvrijheidendemocratie,RENEW
José Ramón BAUZÁ DÍAZ,Spain,Renew Europe Group,197779,ciudadanospartidodelaciudadania,RENEW
Stéphane BIJOUX,France,Renew Europe Group,197551,larepubliqueenmarche,RENEW
Izaskun BILBAO BARANDICA,Spain,Renew Europe Group,96922,partidonacionalistavasco,RENEW
Vlad-Marius BOTOŞ,Romania,Renew Europe Group,197668,uniuneasalvairomania,RENEW
Gilles BOYER,France,Renew Europe Group,197577,horizons,RENEW
Sylvie BRUNET,France,Renew Europe Group,197576,unionpourlademocratiefrancaisemouvementdemocrate,RENEW
Jordi CAÑAS,Spain,Renew Europe Group,126644,ciudadanospartidodelaciudadania,RENEW
Pascal CANFIN,France,Renew Europe Group,96711,larepubliqueenmarcherenaissance,RENEW
Fabio Massimo CASTALDO,Italy,Renew Europe Group,124812,azione,RENEW
Catherine CHABAUD,France,Renew Europe Group,197505,unionpourlademocratiefrancaisemouvementdemocrate,RENEW
Dita CHARANZOVÁ,Czechia,Renew Europe Group,124708,independent,RENEW
Olivier CHASTEL,Belgium,Renew Europe Group,197463,mouvementreformateur,RENEW
Asger CHRISTENSEN,Denmark,Renew Europe Group,197558,venstredanmarksliberaleparti,RENEW
Ilana CICUREL,France,Renew Europe Group,204416,larepubliqueenmarcherenaissance,RENEW
Dacian CIOLOŞ,Romania,Renew Europe Group,197631,reinnoimproiectuleuropeanalromaniei,RENEW
Katalin CSEH,Hungary,Renew Europe Group,197588,momentum,RENEW
Nicola DANTI,Italy,Renew Europe Group,124821,italiavivailcentro,RENEW
Jérémy DECERLE,France,Renew Europe Group,197504,listeleuropeensemble,RENEW
Martina DLABAJOVÁ,Czechia,Renew Europe Group,124709,independent,RENEW
Anna Júlia DONÁTH,Hungary,Renew Europe Group,197595,momentum,RENEW
Lucia ĎURIŠ NICHOLSONOVÁ,Slovakia,Renew Europe Group,197766,independent,RENEW
Engin EROGLU,Germany,Renew Europe Group,197430,freiewahler,RENEW
Laurence FARRENG,France,Renew Europe Group,197589,unionpourlademocratiefrancaisemouvementdemocrate,RENEW
Giuseppe FERRANDINO,Italy,Renew Europe Group,192634,azione,RENEW
Valter FLEGO,Croatia,Renew Europe Group,197419,istarskidemokratskisabordietademocraticaistriana,RENEW
Claudia GAMON,Austria,Renew Europe Group,197632,neosdasneueosterreich,RENEW
Vlad GHEORGHE,Romania,Renew Europe Group,209140,independent,RENEW
Andreas GLÜCK,Germany,Renew Europe Group,197443,freiedemokratischepartei,RENEW
Charles GOERENS,Luxembourg,Renew Europe Group,840,partidemocratique,RENEW
Sandro GOZI,France,Renew Europe Group,204419,larepubliqueenmarcherenaissance,RENEW
Bart GROOTHUIS,Netherlands,Renew Europe Group,197780,volkspartijvoorvrijheidendemocratie,RENEW
Klemen GROŠELJ,Slovenia,Renew Europe Group,197452,zelenislovenije,RENEW
Christophe GRUDLER,France,Renew Europe Group,197557,unionpourlademocratiefrancaisemouvementdemocrate,RENEW
Bernard GUETTA,France,Renew Europe Group,197543,larepubliqueenmarcherenaissance,RENEW
Svenja HAHN,Germany,Renew Europe Group,197444,freiedemokratischepartei,RENEW
Valérie HAYER,France,Renew Europe Group,135511,renaissance,RENEW
Martin HLAVÁČEK,Czechia,Renew Europe Group,197526,ano2011,RENEW
Martin HOJSÍK,Slovakia,Renew Europe Group,197770,progresivneslovensko,RENEW
Jan HUITEMA,Netherlands,Renew Europe Group,58789,volkspartijvoorvrijheidendemocratie,RENEW
Ivars IJABS,Latvia,Renew Europe Group,197624,attistibaipar,RENEW
Sophia IN 'T VELD,Netherlands,Renew Europe Group,28266,volt,RENEW
Irena JOVEVA,Slovenia,Renew Europe Group,197447,gibanjesvoboda,RENEW
Pierre KARLESKIND,France,Renew Europe Group,197585,larepubliqueenmarche,RENEW
Karin KARLSBRO,Sweden,Renew Europe Group,197401,liberalerna,RENEW
Elsi KATAINEN,Finland,Renew Europe Group,191693,suomenkeskusta,RENEW
Michael KAUCH,Germany,Renew Europe Group,251268,freiedemokratischepartei,RENEW
Billy KELLEHER,Ireland,Renew Europe Group,197818,fiannafailparty,RENEW
Fabienne KELLER,France,Renew Europe Group,22858,agirladroiteconstructive,RENEW
Ondřej KNOTEK,Czechia,Renew Europe Group,197528,ano2011,RENEW
Moritz KÖRNER,Germany,Renew Europe Group,197445,freiedemokratischepartei,RENEW
Ondřej KOVAŘÍK,Czechia,Renew Europe Group,118949,ano2011,RENEW
Georgios KYRTSOS,Greece,Renew Europe Group,125063,independent,RENEW
Ilhan KYUCHYUK,Bulgaria,Renew Europe Group,124866,movementforrightsandfreedoms,RENEW
Guy LAVOCAT,France,Renew Europe Group,251859,renaissance,RENEW
Nathalie LOISEAU,France,Renew Europe Group,197494,larepubliqueenmarcherenaissance,RENEW
Morten LØKKEGAARD,Denmark,Renew Europe Group,96709,venstredanmarksliberaleparti,RENEW
Bergur Løkke RASMUSSEN,Denmark,Renew Europe Group,239973,moderaterne,RENEW
Karen MELCHIOR,Denmark,Renew Europe Group,197567,independent,RENEW
Jozef MIHÁL,Slovakia,Renew Europe Group,249826,independent,RENEW
Iskra MIHAYLOVA,Bulgaria,Renew Europe Group,125128,movementforrightsandfreedoms,RENEW
Alin MITUȚA,Romania,Renew Europe Group,212855,reinnoimproiectuleuropeanalromaniei,RENEW
Ulrike MÜLLER,Germany,Renew Europe Group,124862,freiewahler,RENEW
Caroline NAGTEGAAL,Netherlands,Renew Europe Group,190519,volkspartijvoorvrijheidendemocratie,RENEW
Javier NART,Spain,Renew Europe Group,125005,independiente,RENEW
Jan-Christoph OETJEN,Germany,Renew Europe Group,197432,freiedemokratischepartei,RENEW
Max ORVILLE,France,Renew Europe Group,234344,unionpourlademocratiefrancaisemouvementdemocrate,RENEW
Urmas PAET,Estonia,Renew Europe Group,129073,eestireformierakond,RENEW
Maite PAGAZAURTUNDÚA,Spain,Renew Europe Group,125038,delegacionciudadanoseuropeos,RENEW
Mauri PEKKARINEN,Finland,Renew Europe Group,197563,suomenkeskusta,RENEW
Morten PETERSEN,Denmark,Renew Europe Group,124872,detradikalevenstre,RENEW
Dragoş PÎSLARU,Romania,Renew Europe Group,197663,reinnoimproiectuleuropeanalromaniei,RENEW
Eva Maria POPTCHEVA,Spain,Renew Europe Group,237320,ciudadanospartidodelaciudadania,RENEW
Erik POULSEN,Denmark,Renew Europe Group,239972,venstredanmarksliberaleparti,RENEW
Samira RAFAELA,Netherlands,Renew Europe Group,197868,democraten66,RENEW
Frédérique RIES,Belgium,Renew Europe Group,4253,mouvementreformateur,RENEW
Catharina RINZEMA,Netherlands,Renew Europe Group,229519,volkspartijvoorvrijheidendemocratie,RENEW
Dominique RIQUET,France,Renew Europe Group,96885,mouvementradicalsocialliberal,RENEW
María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe Group,4344,ciudadanospartidodelaciudadania,RENEW
Monica SEMEDO,Luxembourg,Renew Europe Group,197418,fokus,RENEW
Susana SOLÍS PÉREZ,Spain,Renew Europe Group,197784,ciudadanospartidodelaciudadania,RENEW
Ramona STRUGARIU,Romania,Renew Europe Group,134605,reinnoimproiectuleuropeanalromaniei,RENEW
Róża THUN UND HOHENSTEIN,Poland,Renew Europe Group,96776,polska2050,RENEW
Irène TOLLERET,France,Renew Europe Group,197547,larepubliqueenmarcherenaissance,RENEW
Jana TOOM,Estonia,Renew Europe Group,124700,eestikeskerakond,RENEW
Nils TORVALDS,Finland,Renew Europe Group,114268,svenskafolkpartiet,RENEW
Dragoş TUDORACHE,Romania,Renew Europe Group,197665,reinnoimproiectuleuropeanalromaniei,RENEW
Hilde VAUTMANS,Belgium,Renew Europe Group,130100,openvlaamseliberalenendemocraten,RENEW
Marie-Pierre VEDRENNE,France,Renew Europe Group,197502,unionpourlademocratiefrancaisemouvementdemocrate,RENEW
Guy VERHOFSTADT,Belgium,Renew Europe Group,97058,openvlaamseliberalenendemocraten,RENEW
Adrián VÁZQUEZ LÁZARA,Spain,Renew Europe Group,204400,ciudadanospartidodelaciudadania,RENEW
Emma WIESNER,Sweden,Renew Europe Group,214839,centerpartiet,RENEW
Michal WIEZIK,Slovakia,Renew Europe Group,197769,progresivneslovensko,RENEW
Salima YENBOU,France,Renew Europe Group,197511,renaissance,RENEW
Stéphanie YON-COURTIN,France,Renew Europe Group,197581,larepubliqueenmarcherenaissance,RENEW
Marco ZULLO,Italy,Renew Europe Group,125237,independent,RENEW
Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197403,partitlaburista,S&D
Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,partidosocialistaobreroespanol,S&D
João ALBUQUERQUE,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,237224,partidosocialista,S&D
Andris AMERIKS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197783,godskalpotrigai,S&D
Marc ANGEL,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,202073,partiouvriersocialisteluxembourgeois,S&D
Attila ARA-KOVÁCS,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197587,demokratikuskoalicio,S&D
Maria ARENA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,partisocialiste,S&D
Carmen AVRAM,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197651,partidulsocialdemocrat,S&D
Laura BALLARÍN CEREZA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,247735,partidosocialistaobreroespanol,S&D
Marek Paweł BALT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197495,nowalewica,S&D
Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197433,sozialdemokratischeparteideutschlands,S&D
Pietro BARTOLO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197808,partitodemocratico,S&D
Marek BELKA,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197496,nowalewica,S&D
Adrian-Dragoş BENEA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197658,partidulsocialdemocrat,S&D
Brando BENIFEI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,partitodemocratico,S&D
